wkt_geom,상가업소번,상호명,지점명,상권업종대,상권업종_1,상권업종중,상권업종_2,상권업종소,상권업종_3,표준산업분,표준산업_1,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
Point (192944.31929955672239885 449922.26836554834153503),24513531,신바람노래연습장,,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,노래연습장 운영업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,402,17,서울특별시 마포구 서교동 402-17,1.14404E+11,서울특별시 마포구 어울마당로5길,3,,1.14E+23,,서울특별시 마포구 어울마당로5길 3,121895,4048,,1,,126.9201556,37.54879062
Point (192917.07837886636843905 450132.98688210605178028),17175350,L.A.D,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,112,서울특별시 마포구 서교동 395-112,1.14404E+11,서울특별시 마포구 잔다리로3안길,23,,1.14E+23,,서울특별시 마포구 잔다리로3안길 23,121840,4043,,,,126.9198453,37.55068898
Point (193131.15825189478346147 450032.26078588154632598),17026605,춘삼,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,410,5,서울특별시 마포구 서교동 410-5,1.14404E+11,서울특별시 마포구 와우산로15길,16,,1.14E+23,신한빌딩,서울특별시 마포구 와우산로15길 16,121895,4049,,,,126.9222689,37.54978306
Point (192735.83574035053607076 450249.06270790309645236),23192718,세븐일레븐,,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,138,서울특별시 마포구 서교동 395-138,1.14404E+11,서울특별시 마포구 양화로12길,8,5,1.14E+23,세르보빌딩,서울특별시 마포구 양화로12길 8-5,121840,4043,,,,126.9177931,37.55173341
Point (192666.14226233933004551 449938.31064498086925596),17059723,합정공감,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,396,33,서울특별시 마포구 서교동 396-33,1.14404E+11,서울특별시 마포구 양화로6길,49,,1.14E+23,,서울특별시 마포구 양화로6길 49,121840,4047,,,,126.9170075,37.54893299
Point (192565.5129702111298684 449903.2390643903054297),16609120,서울베이퍼즈,,D,소매,D03,종합소매점,D03B04,시장/종합상가,G47129,기타 음·식료품 위주 종합 소매업,11,서울특별시,11440,마포구,1144068000,합정동,1144012200,합정동,1.14E+18,1,대지,413,8,서울특별시 마포구 합정동 413-8,1.14403E+11,서울특별시 마포구 독막로,21,,1.14E+23,,서울특별시 마포구 독막로 21,121883,4046,,,,126.9158691,37.54861619
Point (192897.99721467116614804 450046.78096232895040885),17041359,버건디,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,22,서울특별시 마포구 서교동 395-22,1.14404E+11,서울특별시 마포구 독막로7길,47,,1.14E+23,,서울특별시 마포구 독막로7길 47,121840,4043,,,,126.9196302,37.54991212
Point (192856.9841542798676528 449859.33729390520602465),16974219,리버웨이,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144068000,합정동,1144012200,합정동,1.14E+18,1,대지,410,17,서울특별시 마포구 합정동 410-17,1.14404E+11,서울특별시 마포구 양화로6길,92,,1.14E+23,,서울특별시 마포구 양화로6길 92,121883,4048,,,,126.9191679,37.54822294
Point (192926.55662641645176336 449994.08276279747951776),16174145,나눔,아이엔씨,F,생활서비스,F02,세탁/가사서비스,F02A05,청소/소독,,,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,404,22,서울특별시 마포구 서교동 404-22,1.14404E+11,서울특별시 마포구 독막로9길,23,,1.14E+23,,서울특별시 마포구 독막로9길 23,121895,4048,,3,,126.9199539,37.54943753
Point (193092.05781439601560123 449853.83772004902129993),16585198,칠칠켄터키,,Q,음식,Q06,양식,Q06A07,기타전문서양음식점,I56114,서양식 음식점업,11,서울특별시,11440,마포구,1144065500,서강동,1144011500,상수동,1.14E+18,1,대지,310,25,서울특별시 마포구 상수동 310-25,1.14404E+11,서울특별시 마포구 독막로15길,5,,1.14E+23,,서울특별시 마포구 독막로15길 5,121829,4049,,,,126.9218281,37.54817518
Point (193184.34958924271631986 450014.82514531508786604),16416786,이케바나우정임플라워,,D,소매,D02,선물/팬시/기념품,D02A02,꽃집/꽃배달,G47851,화초 및 산식물 소매업,11,서울특별시,11440,마포구,1144065500,서강동,1144011500,상수동,1.14E+18,1,대지,86,55,서울특별시 마포구 상수동 86-55,1.14403E+11,서울특별시 마포구 와우산로,57,,1.14E+23,,서울특별시 마포구 와우산로 57,121828,4049,,1,,126.922871,37.54962636
Point (193033.07764820210286416 449945.21349321200978011),16584875,비스트로사랑방,,Q,음식,Q06,양식,Q06A07,기타전문서양음식점,I56114,서양식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,408,25,서울특별시 마포구 서교동 408-25,1.14404E+11,서울특별시 마포구 와우산로15길,40,,1.14E+23,,서울특별시 마포구 와우산로15길 40,121895,4049,,,,126.9211598,37.54899803
Point (192812.61762423839536496 449893.86731708538718522),16998353,프린지그룹,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,400,11,서울특별시 마포구 서교동 400-11,1.14404E+11,서울특별시 마포구 양화로6길,79,,1.14E+23,,서울특별시 마포구 양화로6길 79,121895,4047,,,,126.9186655,37.54853371
Point (192647.1182650608534459 449940.10770928184501827),17169653,푸리프,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,396,32,서울특별시 마포구 서교동 396-32,1.14404E+11,서울특별시 마포구 양화로6길,45,,1.14E+23,,서울특별시 마포구 양화로6길 45,121840,4047,,,,126.9167922,37.54894903
Point (193183.58602925881859846 450085.8204061298747547),20006279,클럽에반스,,Q,음식,Q09,유흥주점,Q09A08,빠/카페/스탠드빠,I56211,일반유흥 주점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,407,3,서울특별시 마포구 서교동 407-3,1.14403E+11,서울특별시 마포구 와우산로,63,,1.14E+23,,서울특별시 마포구 와우산로 63,121895,4049,,2,,126.9228617,37.55026602
Point (192906.4518739836930763 449909.86550918407738209),25862896,카페벨로주,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,402,6,서울특별시 마포구 서교동 402-6,1.14404E+11,서울특별시 마포구 독막로9길,8,,1.14E+23,,서울특별시 마포구 독막로9길 8,121895,4048,,1,,126.9197272,37.54867858
Point (192964.25145949501893483 449834.47766731551382691),16141974,드림공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11440,마포구,1144065500,서강동,1144011500,상수동,1.14E+18,1,대지,318,5,서울특별시 마포구 상수동 318-5,1.14403E+11,서울특별시 마포구 독막로,61,,1.14E+23,,서울특별시 마포구 독막로 61,121829,4049,,2,,126.920382,37.54799978
Point (192714.88093163855955936 449962.82942420791368932),16766504,더부띠끄헤어,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,396,21,서울특별시 마포구 서교동 396-21,1.14404E+11,서울특별시 마포구 독막로3길,24,11,1.14E+23,,서울특별시 마포구 독막로3길 24-11,121840,4047,,,,126.9175588,37.54915429
