wkt_geom,UPJONG1_NM,UPJONG2_NM,UPJONG3_NM,STORE_NM,ADDRESS,PHONE,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호
Point (192896.57964879189967178 449856.42431492696050555),음식,한식,한식/백반/한정식,육값하네,서울특별시 마포구 합정동 410-31 1층,,서울특별시 마포구 합정동 410-31 1층,126.919616,37.548197,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로6길 100,서울특별시 마포구 합정동 410-31,4048
Point (192878.63463914560270496 449849.22545390634331852),음식,유흥주점,호프/맥주,을지로골뱅이,서울특별시 마포구 합정동 410-2 1층,,서울특별시 마포구 합정동 410-2 1층,126.919413,37.548132,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 55,서울특별시 마포구 합정동 410-2,4048
Point (192925.05968487370410003 450093.69251435145270079),음식,한식,한식/백반/한정식,나물먹는곰,"서울특별시 마포구 서교동 395-199 1,2층",,"서울특별시 마포구 서교동 395-199 1,2층",126.919936,37.550335,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로7길 57,서울특별시 마포구 서교동 395-199,4043
Point (192819.27773234675987624 449982.57321284874342382),음식,양식,정통양식/경양식,스테파노스키친,서울특별시 마포구 서교동 400-20 3층.4층,,서울특별시 마포구 서교동 400-20 3층.4층,126.91874,37.549333,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로5길 32,서울특별시 마포구 서교동 400-20,4047
Point (192846.72981978708412498 449844.92432877141982317),음식,한식,갈비/삼겹살,하늘도시락,서울특별시 마포구 합정동 410-20 1층 우측,,서울특별시 마포구 합정동 410-20 1층 우측,126.919052,37.548093,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 53,서울특별시 마포구 합정동 410-20,4048
Point (192975.72188177081989124 450127.27891539066331461),음식,한식,한식/백반/한정식,마음,서울특별시 마포구 서교동 405-5,02-337-2644,서울특별시 마포구 서교동 405-5,126.920509,37.550638,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로 21-1,서울특별시 마포구 서교동 405-5,4048
Point (193116.43512995392666198 450062.78803503804374486),음식,유흥주점,호프/맥주,와바,서울특별시 마포구 서교동 409-1 2층,,서울특별시 마포구 서교동 409-1 2층,126.922102,37.550058,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로17길 15,서울특별시 마포구 서교동 409-1,4049
Point (193035.82893173577031121 449832.88794453197624534),음식,유흥주점,호프/맥주,무릉도원,서울특별시 마포구 상수동 316-8 1층 좌측 2호,,서울특별시 마포구 상수동 316-8 1층 좌측 2호,126.921192,37.547986,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 69,서울특별시 마포구 상수동 316-8,4049
Point (193180.9752181276853662 450102.46854192414321005),음식,유흥주점,빠/카페/스탠드빠,티월드,서울특별시 마포구 서교동 407-2 7층,02-3141-7456,서울특별시 마포구 서교동 407-2 7층,126.922832,37.550416,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로 65,서울특별시 마포구 서교동 407-2,4049
Point (192993.92495535043417476 449917.38508529600221664),음식,닭/오리요리,삼계탕전문,트윈삼계탕,서울특별시 마포구 서교동 408-30 1층,02-335-7524,서울특별시 마포구 서교동 408-30 1층,126.920717,37.548747,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 42,서울특별시 마포구 서교동 408-30,4049
Point (193111.16251865375670604 449991.6490483689121902),음식,유흥주점,빠/카페/스탠드빠,일그램,서울특별시 마포구 서교동 411-8 지1층,,서울특별시 마포구 서교동 411-8 지1층,126.922043,37.549417,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로15길 23,서울특별시 마포구 서교동 411-8,4049
