wkt_geom,STD_YM,BLOCK_CD,X_COORD,Y_COORD,MAN_10G,MAN_20G,MAN_30G,MAN_40G,MAN_50G,MAN_60GU,WMAN_10G,WMAN_20G,WMAN_30G,WMAN_40G,WMAN_50G,WMAN_60GU,a10s,a20s,a30s,a40s,a50s,a60
Point (192807.73384278904995881 449877.26235487213125452),201309,1.11E+18,948643.875,1950053,18.11,181.7,150.39,78.62,43.16,22.93,24.34,180.38,95.07,49.34,34.41,19.83,42.45,362.08,245.46,127.96,77.57,42.76
Point (192562.40639903178089298 449979.9973320048302412),201309,1.11E+18,948399.1875,1950157,16.15,85.01,155.19,112.78,73.4,43.09,18.24,109.37,114.86,79.5,58.45,34.28,34.39,194.38,270.05,192.28,131.85,77.37
Point (192562.52486560810939409 450134.05681613605702296),201309,1.11E+18,948400.125,1950311,3.47,24.19,50.34,41.91,31.83,19.83,4.27,29.81,37.41,23.42,18.75,12.99,7.74,54,87.75,65.33,50.58,32.82
Point (192709.65131687140092254 449979.78008500713622198),201309,1.11E+18,948546.375,1950156,4.03,25.28,43.6,30.93,22.97,15.06,4.46,31.23,30.55,19.41,15.53,10.72,8.49,56.51,74.15,50.34,38.5,25.78
Point (192758.91875429599895142 449980.0421182430582121),201309,1.11E+18,948595.625,1950156,4.78,28.71,49.7,34.24,22.51,12.68,5.42,36.09,35.69,22.83,16.97,10.33,10.2,64.8,85.39,57.07,39.48,23.01
Point (192857.06256795171066187 450030.58322927047265694),201309,1.11E+18,948694,1950206,0.05,0.42,1.94,3.72,5.92,4.73,0.09,0.25,1.17,1.45,2.39,2.38,0.14,0.67,3.11,5.17,8.31,7.11
Point (192464.28262525837635621 450031.4953190847299993),201309,1.11E+18,948301.375,1950209,136.57,682.63,527.8,337.41,250.58,171.7,207.83,1012.98,539.69,332.49,264.21,152.18,344.4,1695.61,1067.49,669.9,514.79,323.88
Point (192513.42500530279357918 450031.75669004145311192),201309,1.11E+18,948350.5,1950209,11.2,51.87,102.99,82.84,58.35,36.36,12.81,68.39,78.7,59.46,45.1,26.68,24.01,120.26,181.69,142.3,103.45,63.04
Point (192513.46626764684333466 450082.77639740606537089),201309,1.11E+18,948350.8125,1950260,16.53,81.75,123.22,89.42,59.07,36.25,22,110.71,95.54,67.02,48.66,28.22,38.53,192.46,218.76,156.44,107.73,64.47
Point (192611.5487843235314358 449980.25870020146248862),201309,1.11E+18,948448.3125,1950157,0.36,0.94,4.77,8.74,12.86,11.11,0.26,0.73,3.24,3.79,5.61,5.61,0.62,1.67,8.01,12.53,18.47,16.72
Point (192415.12555719481315464 449928.1945232076686807),201309,1.11E+18,948251.6875,1950106,16.73,88.48,161.33,117.08,76.54,45.47,19.02,113.25,119.08,82.47,60.92,36.16,35.75,201.73,280.41,199.55,137.46,81.63
Point (192562.48892667092150077 450082.036752155108843),201309,1.11E+18,948399.8125,1950259,1.08,4.02,10.83,13.67,16.35,12.99,0.91,5.2,7.96,7.14,8.05,6.85,1.99,9.22,18.79,20.81,24.4,19.84
Point (192415.16150478212512098 449980.21457878570072353),201309,1.11E+18,948252,1950158,0.41,1.32,6.53,11.88,17.5,15.13,0.34,1.06,4.44,5.17,7.66,7.65,0.75,2.38,10.97,17.05,25.16,22.78
Point (192464.14289038910646923 449928.45522358804009855),201309,1.11E+18,948300.6875,1950106,15.64,85.09,153.16,109.84,72.22,43.75,17.97,108.15,112.03,76.89,57.07,34.47,33.61,193.24,265.19,186.73,129.29,78.22
Point (192464.30920266633620486 449979.47559323743917048),201309,1.11E+18,948301.125,1950157,26.12,109.42,199.14,149.02,98.18,58.84,27.24,135.7,149.69,108.05,79.74,48.52,53.36,245.12,348.83,257.07,177.92,107.36
Point (192513.28527042051427998 449928.71658903383649886),201309,1.11E+18,948349.8125,1950106,16.45,88.16,158.6,111.76,69.03,38.37,18.88,113.03,117.09,79.96,57.43,32.62,35.33,201.19,275.69,191.72,126.46,70.99
Point (192513.32653848457266577 449979.73629634990356863),201309,1.11E+18,948350.125,1950157,16.5,89.02,160.43,115.32,75.48,45.07,18.74,113.84,117.82,80.82,59.64,35.49,35.24,202.86,278.25,196.14,135.12,80.56
Point (192562.37045137886889279 449927.97726809460436925),201309,1.11E+18,948398.875,1950105,6.52,38.26,66.07,47.35,34.82,22.41,6.98,47.17,46.69,29.92,24.03,16.22,13.5,85.43,112.76,77.27,58.85,38.63
Point (192562.4476642710797023 450031.01704207004513592),201309,1.11E+18,948399.5,1950208,0.11,0.52,2.48,4.77,7.63,6.1,0.11,0.35,1.53,1.85,3.08,3.06,0.22,0.87,4.01,6.62,10.71,9.16
Point (192611.40904358116677031 449877.21858823811635375),201309,1.11E+18,948447.625,1950054,4.59,29.05,48.53,32.1,21.38,12.4,5.07,35.96,33.95,20.71,15.58,9.97,9.66,65.01,82.48,52.81,36.96,22.37
Point (192611.5900495644309558 450031.27841299364808947),201309,1.11E+18,948448.625,1950208,0.7,2.22,5.12,6.64,8.25,6.17,0.63,2.49,4.19,3.34,4.09,3.15,1.33,4.71,9.31,9.98,12.34,9.32
Point (192611.3877924224070739 449928.2379684554762207),201309,1.11E+18,948447.875,1950105,5.06,31.85,53.2,35.19,23.45,13.62,5.58,39.46,37.2,22.71,17.12,10.92,10.64,71.31,90.4,57.9,40.57,24.54
Point (192611.5687898512405809 450082.29779327160213143),201309,1.11E+18,948448.875,1950259,0.69,3.24,7.44,8.17,9,6.31,0.67,4.38,5.46,4.45,4.56,3.43,1.36,7.62,12.9,12.62,13.56,9.74
Point (192660.48890936351381242 449877.47961841424694285),201309,1.11E+18,948496.6875,1950054,9.74,61.24,77.74,53.63,34.14,17.79,11.05,67.21,56.12,33.88,24.36,15.02,20.79,128.45,133.86,87.51,58.5,32.81
Point (192611.72977303256629966 450134.31852510810131207),201309,1.11E+18,948449.3125,1950311,0.94,3.64,9.75,12.32,14.78,11.73,0.8,4.69,7.18,6.48,7.27,6.09,1.74,8.33,16.93,18.8,22.05,17.82
Point (192611.77102972238208167 450185.33823797211516649),201309,1.11E+18,948449.625,1950362,11,60.2,119.36,94.2,64.23,37.88,13.04,76.54,90.05,62.17,46.17,27.57,24.04,136.74,209.41,156.37,110.4,65.45
Point (192709.6366202506760601 449876.74062709289137274),201309,1.11E+18,948545.8125,1950053,9.81,36.93,61.1,46.96,32.26,19.32,10.59,43.28,46.06,34.78,27.27,17.35,20.4,80.21,107.16,81.74,59.53,36.67
Point (192660.57144846086157486 449979.51904937234940007),201309,1.11E+18,948497.3125,1950156,9.53,59.64,77.33,53.31,34.07,17.95,11.03,66.2,56.03,33.86,24.26,15.18,20.56,125.84,133.36,87.17,58.33,33.13
Point (192660.60739323787856847 450031.53911886259447783),201309,1.11E+18,948497.625,1950208,4.67,29.44,49.2,32.53,21.65,12.59,5.16,36.45,34.39,20.99,15.79,10.13,9.83,65.89,83.59,53.52,37.44,22.72
Point (192758.71649127756245434 449877.00165723648387939),201309,1.11E+18,948594.875,1950053,6.21,42.53,54.61,32.87,21.01,11.9,6.2,46.7,36.51,21.2,15.66,9.66,12.41,89.23,91.12,54.07,36.67,21.56
Point (192660.58613352788961492 450082.55850186082534492),201309,1.11E+18,948497.875,1950259,1.59,7.2,15.66,14.72,12.92,8.5,1.79,9.4,12.02,9.41,8.16,5.41,3.38,16.6,27.68,24.13,21.08,13.91
Point (192660.75243735857657157 450133.57888249598909169),201309,1.11E+18,948498.3125,1950310,0.34,0.86,4.49,8.15,12.03,10.45,0.24,0.67,3.03,3.54,5.28,5.22,0.58,1.53,7.52,11.69,17.31,15.67
Point (192709.85356832691468298 450082.82054061064263806),201309,1.11E+18,948547.125,1950259,4.7,30.1,50.47,33.49,22.18,12.52,5.19,37.18,35.36,21.39,15.92,10.09,9.89,67.28,85.83,54.88,38.1,22.61
Point (192709.83230578803340904 450133.83992635831236839),201309,1.11E+18,948547.375,1950310,9.58,31.65,63.5,55.7,40.69,24.97,9.97,37.87,52.07,39.88,30.57,19.83,19.55,69.52,115.57,95.58,71.26,44.8
Point (192660.5301803287002258 449928.49933387979399413),201309,1.11E+18,948497,1950105,4.98,31.6,49.77,33.03,21.83,12.48,5.34,37.93,34.74,21.1,15.93,10.03,10.32,69.53,84.51,54.13,37.76,22.51
Point (192709.67257086414610967 449928.76069931918755174),201309,1.11E+18,948546.125,1950105,9.64,59.38,78.18,56.35,38.2,21.7,10.79,65.9,56.79,35.34,26.25,16.69,20.43,125.28,134.97,91.69,64.45,38.39
Point (192709.81762643440742977 450030.80046831018989906),201309,1.11E+18,948546.8125,1950207,16.35,89.87,105.55,71.76,43.82,24.05,18.88,98.9,78.81,50.45,37.62,22.56,35.23,188.77,184.36,122.21,81.44,46.61
Point (192758.88280656692222692 449928.02204321010503918),201309,1.11E+18,948595.3125,1950104,15.58,137.11,129.28,67.29,36.18,19.89,18.64,142.65,79.67,42.56,29.69,17.09,34.22,279.76,208.95,109.85,65.87,36.98
Point (192758.89749747660243884 450031.06150668248301372),201309,1.11E+18,948595.875,1950207,5.98,40.91,52.53,31.62,20.23,11.45,6.01,44.94,35.16,20.37,15,9.25,11.99,85.85,87.69,51.99,35.23,20.7
Point (192758.93875995435519144 450082.08122767368331552),201309,1.11E+18,948596.1875,1950258,2.7,20.2,40.69,31.88,21.87,12.03,3.5,25.02,30.26,18.11,13.48,8.54,6.2,45.22,70.95,49.99,35.35,20.57
Point (192807.9001580911281053 449928.28274356265319511),201309,1.11E+18,948644.3125,1950104,8.16,80.92,72.1,44.83,31.23,18.51,11.11,78.22,49.95,27.9,21.39,13.99,19.27,159.14,122.05,72.73,52.62,32.5
Point (192807.94142629427369684 449979.30246723687741905),201309,1.11E+18,948644.625,1950155,0.15,0.71,3.6,6.56,9.68,8.43,0.17,0.57,2.42,2.84,4.21,4.17,0.32,1.28,6.02,9.4,13.89,12.6
Point (192807.91484900892828591 450031.32221253146417439),201309,1.11E+18,948644.875,1950207,4.12,26.36,44.01,29.09,19.4,11.23,4.59,32.63,30.81,18.77,14.13,9.04,8.71,58.99,74.82,47.86,33.53,20.27
Point (192857.02130257675889879 449979.56350285169901326),201309,1.11E+18,948693.6875,1950155,33.95,270.35,193.43,100.36,56.19,28.9,47.05,271.44,122.34,67.47,47.12,26.33,81,541.79,315.77,167.83,103.31,55.23
