wkt_geom,STD_YM,BLOCK_CD,X_COORD,Y_COORD,MAN_10G,MAN_20G,MAN_30G,MAN_40G,MAN_50G,MAN_60GU,WMAN_10G,WMAN_20G,WMAN_30G,WMAN_40G,WMAN_50G,WMAN_60GU,a10s,a20s,a30s,a40s,a50s,a60
Point (193004.34347509505460039 450082.38607897720066831),201309,1.11E+18,948841.5,1950257,12.06,120.74,95.81,44.32,19.69,10.45,15.86,122.55,55.42,27.57,18.17,9.59,27.92,243.29,151.23,71.89,37.86,20.04
Point (193004.38473481961409561 450133.40581361169461161),201309,1.11E+18,948841.8125,1950308,16.24,154.47,151.18,82.69,41.12,20.38,21.33,162.57,95.71,50.32,33.36,18.13,37.57,317.04,246.89,133.01,74.48,38.51
Point (192856.96533189609181136 449825.5043020625016652),201309,1.11E+18,948692.8125,1950001,8.96,56.2,72.79,50.24,32.11,16.88,10.36,62.37,52.75,31.87,22.85,14.29,19.32,118.57,125.54,82.11,54.96,31.17
Point (192857.00660582148702815 449876.52402841701405123),201309,1.11E+18,948693.125,1950052,48.64,200.18,196.62,141.62,93.15,56.54,49.87,199.57,141.79,113.17,87.67,52.46,98.51,399.75,338.41,254.79,180.82,109
Point (192906.0386593361326959 449979.82420595124131069),201309,1.11E+18,948742.6875,1950155,29.58,242.75,152.54,75.25,42.09,22.5,42.59,238.91,93.22,50.24,35.25,19.62,72.17,481.66,245.76,125.49,77.34,42.12
Point (192905.98268864469719119 449825.76499694352969527),201309,1.11E+18,948741.8125,1950001,19.25,158.71,154.65,88.41,49.25,25.96,23.88,166.46,100.31,55.6,38.53,22.63,43.13,325.17,254.96,144.01,87.78,48.59
Point (192906.07992472010664642 450030.8439350895350799),201309,1.11E+18,948743,1950206,40.28,325.92,211.57,105.03,57.23,29.63,55.58,320.02,132.47,68.72,47.69,26.34,95.86,645.94,344.04,173.75,104.92,55.97
Point (192955.10384409333346412 449877.04575615894282237),201309,1.11E+18,948791.1875,1950052,19.74,162.3,158.26,90.46,50.41,26.58,24.42,170.32,102.6,56.89,39.44,23.18,44.16,332.62,260.86,147.35,89.85,49.76
Point (192955.14511519967345521 449928.06548797804862261),201309,1.11E+18,948791.5,1950103,18.26,148.38,160.52,97.62,47.94,26.03,22.9,159.66,96.79,53.51,37.86,22.69,41.16,308.04,257.31,151.13,85.8,48.72
Point (192955.18638347007799894 449979.08521982253296301),201309,1.11E+18,948791.8125,1950154,2.41,18.59,12.59,4.69,2.13,0.87,1.92,16.32,6.94,3.02,1.92,0.84,4.33,34.91,19.53,7.71,4.05,1.71
Point (192955.22232838740455918 450031.10530598717741668),201309,1.11E+18,948792.125,1950206,14.04,134.51,104.46,47.1,20.93,10.84,17.11,133.81,60.06,29.39,19.32,10.03,31.15,268.32,164.52,76.49,40.25,20.87
Point (192955.20106879773084074 450082.12470533774467185),201309,1.11E+18,948792.375,1950257,19.37,177.76,137.83,67.46,31.62,16.1,25.68,180.02,85.35,41.65,27.76,14.94,45.05,357.78,223.18,109.11,59.38,31.04
Point (193004.16247719139209948 449928.32618832745356485),201309,1.11E+18,948840.5,1950103,30.81,252.25,152.86,72.41,37.1,17.74,43.92,246.52,93.45,49.62,33.46,17.51,74.73,498.77,246.31,122.03,70.56,35.25
Point (193004.24501091413549148 450030.36565747822169214),201309,1.11E+18,948841.125,1950205,13.5,129.4,100.47,45.31,20.18,10.44,16.46,128.68,57.77,28.29,18.6,9.65,29.96,258.08,158.24,73.6,38.78,20.09
Point (193053.28363223053747788 449979.60695850115735084),201309,1.11E+18,948889.875,1950154,4.23,58,28.12,13.2,7.58,3.05,6.9,48.51,19.01,7.98,5.33,2.85,11.13,106.51,47.13,21.18,12.91,5.9
Point (193053.44994198123458773 450030.62736087926896289),201309,1.11E+18,948890.3125,1950205,6.66,77.64,41.15,18.1,9.81,3.95,8.94,65.65,26.28,11.11,7.31,3.75,15.6,143.29,67.43,29.21,17.12,7.7
Point (193053.49120459886034951 450081.6470982211176306),201309,1.11E+18,948890.625,1950256,23.91,199.51,151.57,82.62,45.42,23.79,31.75,191.13,97.67,56.52,39.82,22.82,55.66,390.64,249.24,139.14,85.24,46.61
Point (193053.46462160081136972 450133.66685744602000341),201309,1.11E+18,948890.875,1950308,13.28,132.87,105.43,48.76,21.67,11.51,17.46,134.82,61,30.32,20,10.61,30.74,267.69,166.43,79.08,41.67,22.12
Point (193102.46730922078131698 450030.88806669268524274),201309,1.11E+18,948939.3125,1950205,4.6,63.27,30.68,14.41,8.27,3.33,7.52,52.93,20.73,8.71,5.82,3.12,12.12,116.2,51.41,23.12,14.09,6.45
Point (193102.50857184239430353 450081.90780675481073558),201309,1.11E+18,948939.625,1950256,11.85,111.94,73.2,44.53,26.24,11.15,16.1,99.7,52.61,27.25,18.21,10.31,27.95,211.64,125.81,71.78,44.45,21.46
Point (193102.48198884419980459 450133.92756875662598759),201309,1.11E+18,948939.875,1950308,13.73,137.47,109.06,50.46,22.43,11.89,18.07,139.5,63.14,31.35,20.71,10.94,31.8,276.97,172.2,81.81,43.14,22.83
Point (193151.71350817440543324 450082.16951290844008327),201309,1.11E+18,948988.8125,1950256,5.67,36.02,58.59,35.69,19.36,9.58,6.29,44.93,41.19,24.22,16.59,9.52,11.96,80.95,99.78,59.91,35.95,19.1
Point (193151.75476796747534536 450133.18925572431180626),201309,1.11E+18,948989.125,1950307,45.1,368.93,217.03,103.25,54.46,25.56,63.34,355.91,133.57,71.33,48.32,25.27,108.44,724.84,350.6,174.58,102.78,50.83
Point (192807.76041135744890198 449825.24260963377309963),201309,1.11E+18,948643.625,1950001,4,25.83,43.08,28.53,19.01,11.04,4.49,31.97,30.17,18.38,13.87,8.88,8.49,57.8,73.25,46.91,32.88,19.92
Point (192856.98003436834551394 449928.54377645690692589),201309,1.11E+18,948693.375,1950104,18.31,182.58,152.94,82.53,48.23,27.64,24.53,181.3,96.87,51.25,36.85,22.29,42.84,363.88,249.81,133.78,85.08,49.93
Point (193200.77214045627624728 450133.4499670016230084),201309,1.11E+18,949038.125,1950307,66.13,537.44,348.57,186.14,100.78,47.17,95.32,527.94,228.25,124.87,82.89,44.73,161.45,1065.38,576.82,311.01,183.67,91.9
Point (192906.02396257949294522 449876.78472602047258988),201309,1.11E+18,948742.125,1950052,14.42,129.18,126.44,67.57,36.74,20.45,18.17,137.19,78.66,42.71,30,17.5,32.59,266.37,205.1,110.28,66.74,37.95
Point (192906.00271153761423193 449927.80412258795695379),201309,1.11E+18,948742.375,1950103,14.94,132.38,128.91,69.3,37.74,20.78,18.53,139.99,80.34,43.67,30.73,17.74,33.47,272.37,209.25,112.97,68.47,38.52
