wkt_geom,STD_YM,BLOCK_CD,X_COORD,Y_COORD,MAN_10G,MAN_20G,MAN_30G,MAN_40G,MAN_50G,MAN_60GU,WMAN_10G,WMAN_20G,WMAN_30G,WMAN_40G,WMAN_50G,WMAN_60GU,a10s,a20s,a30s,a40s,a50s,a60
Point (192807.73384278904995881 449877.26235487213125452),201309,1.11E+18,948643.875,1950053,18.11,181.7,150.39,78.62,43.16,22.93,24.34,180.38,95.07,49.34,34.41,19.83,42.45,362.08,245.46,127.96,77.57,42.76
Point (193053.26893533917609602 449876.56746206246316433),201309,1.11E+18,948889.3125,1950051,5.17,31.9,30.57,22.43,13.47,5.96,6.16,31.72,23.32,13.92,9.24,5.54,11.33,63.62,53.89,36.35,22.71,11.5
Point (192856.96533189609181136 449825.5043020625016652),201309,1.11E+18,948692.8125,1950001,8.96,56.2,72.79,50.24,32.11,16.88,10.36,62.37,52.75,31.87,22.85,14.29,19.32,118.57,125.54,82.11,54.96,31.17
Point (193102.25034886016510427 449824.8080652299686335),201309,1.11E+18,948938,1949999,21.45,175.05,170.01,97.47,54.31,28.52,26.23,183.05,110.32,61.27,42.49,24.79,47.68,358.1,280.33,158.74,96.8,53.31
Point (192857.00660582148702815 449876.52402841701405123),201309,1.11E+18,948693.125,1950052,48.64,200.18,196.62,141.62,93.15,56.54,49.87,199.57,141.79,113.17,87.67,52.46,98.51,399.75,338.41,254.79,180.82,109
Point (193102.34882471841410734 449876.82849218131741509),201309,1.11E+18,948938.375,1950051,13.4,128.28,101.27,48.58,25.98,15.16,16.37,127.42,58.32,29.39,20.78,11.9,29.77,255.7,159.59,77.97,46.76,27.06
Point (192905.98268864469719119 449825.76499694352969527),201309,1.11E+18,948741.8125,1950001,19.25,158.71,154.65,88.41,49.25,25.96,23.88,166.46,100.31,55.6,38.53,22.63,43.13,325.17,254.96,144.01,87.78,48.59
Point (193102.39009589416673407 449927.84823217714438215),201309,1.11E+18,948938.6875,1950102,5.3,32.64,31.26,22.97,13.77,6.08,6.29,32.42,23.87,14.24,9.44,5.69,11.59,65.06,55.13,37.21,23.21,11.77
Point (192759.05720965200453065 450236.14074486441677436),201309,1.11E+18,948597.125,1950412,0.36,1.19,4.47,7.61,10.19,9.01,0.23,0.74,3.03,3.31,4.3,4.21,0.59,1.93,7.5,10.92,14.49,13.22
Point (192808.03330727011780255 450185.38173787528648973),201309,1.11E+18,948645.8125,1950361,0.08,0.48,2.21,4.23,6.73,5.38,0.1,0.31,1.34,1.62,2.72,2.72,0.18,0.79,3.55,5.85,9.45,8.1
Point (193151.39276300711208023 449825.06942510313820094),201309,1.11E+18,948987.125,1949999,32.23,251.38,224.58,133.93,76.63,39.7,40.45,249.54,152.14,87.68,61.27,35.77,72.68,500.92,376.72,221.61,137.9,75.47
Point (192759.03061781404539943 450288.16048747941385955),201309,1.11E+18,948597.375,1950464,3.58,25.23,51.19,41.45,29.35,17.56,4.24,30.65,37.99,23.22,17.51,11.43,7.82,55.88,89.18,64.67,46.86,28.99
Point (192857.13976957273553126 450133.62303636269643903),201309,1.11E+18,948694.625,1950309,15.69,96.68,119.22,82.87,51.1,28.15,19.58,109.95,89.08,58.01,41.67,23.11,35.27,206.63,208.3,140.88,92.77,51.26
