wkt_geom,STD_YM,BLOCK_CD,X_COORD,Y_COORD,MAN_10G,MAN_20G,MAN_30G,MAN_40G,MAN_50G,MAN_60GU,WMAN_10G,WMAN_20G,WMAN_30G,WMAN_40G,WMAN_50G,WMAN_60GU,a10s,a20s,a30s,a40s,a50s,a60
Point (193200.73088065735646524 450082.43022146576549858),201309,1.11E+18,949037.8125,1950256,16.66,154.3,92.39,54.98,33.61,14.08,22.22,135.17,66.24,34.78,23.38,13.28,38.88,289.47,158.63,89.76,56.99,27.36
Point (193151.5737783974618651 449979.12934030330507085),201309,1.11E+18,948988.125,1950153,4.71,65.17,31.59,14.83,8.51,3.43,7.73,54.47,21.34,8.98,6,3.18,12.44,119.64,52.93,23.81,14.51,6.61
Point (193053.26893533917609602 449876.56746206246316433),201309,1.11E+18,948889.3125,1950051,5.17,31.9,30.57,22.43,13.47,5.96,6.16,31.72,23.32,13.92,9.24,5.54,11.33,63.62,53.89,36.35,22.71,11.5
Point (193004.12652643845649436 449876.30609943123999983),201309,1.11E+18,948840.1875,1950051,9.99,36.09,62.61,48.33,33.43,20.24,10.93,43.28,47.43,36.12,28.32,18.28,20.92,79.37,110.04,84.45,61.75,38.52
Point (193102.25034886016510427 449824.8080652299686335),201309,1.11E+18,948938,1949999,21.45,175.05,170.01,97.47,54.31,28.52,26.23,183.05,110.32,61.27,42.49,24.79,47.68,358.1,280.33,158.74,96.8,53.31
Point (193053.22766134116682224 449825.5477248125243932),201309,1.11E+18,948889,1950000,9.91,61.75,80.1,55.25,35.28,18.58,11.41,68.55,58.01,35.08,25.15,15.76,21.32,130.3,138.11,90.33,60.43,34.34
Point (193102.42604376529925503 449979.86832665168913081),201309,1.11E+18,948939,1950154,0.53,2.49,4.64,3.5,2.06,0.85,0.48,3.61,3.65,2.5,1.63,0.63,1.01,6.1,8.29,6,3.69,1.48
Point (193102.34882471841410734 449876.82849218131741509),201309,1.11E+18,948938.375,1950051,13.4,128.28,101.27,48.58,25.98,15.16,16.37,127.42,58.32,29.39,20.78,11.9,29.77,255.7,159.59,77.97,46.76,27.06
Point (193102.39009589416673407 449927.84823217714438215),201309,1.11E+18,948938.6875,1950102,5.3,32.64,31.26,22.97,13.77,6.08,6.29,32.42,23.87,14.24,9.44,5.69,11.59,65.06,55.13,37.21,23.21,11.77
Point (193151.39276300711208023 449825.06942510313820094),201309,1.11E+18,948987.125,1949999,32.23,251.38,224.58,133.93,76.63,39.7,40.45,249.54,152.14,87.68,61.27,35.77,72.68,500.92,376.72,221.61,137.9,75.47
Point (193151.37151491519762203 449876.08883527683792636),201309,1.11E+18,948987.375,1950050,10.66,100.66,65.77,40.04,23.6,9.98,14.45,89.6,47.27,24.51,16.4,9.24,25.11,190.26,113.04,64.55,40,19.22
Point (192955.06789045978803188 449825.0256700596655719),201309,1.11E+18,948790.875,1950000,24.8,225.19,191.91,110.23,66.26,35.66,32.12,223.2,125.13,67.88,48.38,28.69,56.92,448.39,317.04,178.11,114.64,64.35
Point (193151.53251005045603961 449928.10959755734074861),201309,1.11E+18,948987.8125,1950102,11.48,114.74,91.03,42.11,18.72,9.93,15.07,116.43,52.69,26.18,17.27,9.15,26.55,231.17,143.72,68.29,35.99,19.08
Point (193004.08525244166958146 449825.28636491060024127),201309,1.11E+18,948839.875,1950000,25.39,183.64,208.1,139.2,79.44,40.15,29.98,192.8,135.97,83.77,59.09,33.65,55.37,376.44,344.07,222.97,138.53,73.8
